Freq.	V(vout)
1.07795343307108e-02	(-6.02262251712440e+00dB,-1.23642858175624e+00°)
1.07820166959987e-02	(-6.02262344856538e+00dB,-1.23671322431890e+00°)
1.07844996329380e-02	(-6.02262438043521e+00dB,-1.23699793236940e+00°)
1.07869831416606e-02	(-6.02262531273408e+00dB,-1.23728270592279e+00°)
1.07894672222980e-02	(-6.02262624546219e+00dB,-1.23756754499410e+00°)
1.07919518749820e-02	(-6.02262717861973e+00dB,-1.23785244959838e+00°)
1.07944370998442e-02	(-6.02262811220691e+00dB,-1.23813741975067e+00°)
1.07969228970166e-02	(-6.02262904622392e+00dB,-1.23842245546604e+00°)
1.07994092666308e-02	(-6.02262998067095e+00dB,-1.23870755675953e+00°)
1.08018962088186e-02	(-6.02263091554821e+00dB,-1.23899272364621e+00°)
1.08043837237120e-02	(-6.02263185085590e+00dB,-1.23927795614114e+00°)
1.08068718114428e-02	(-6.02263278659421e+00dB,-1.23956325425938e+00°)
1.08093604721430e-02	(-6.02263372276334e+00dB,-1.23984861801600e+00°)
1.08118497059444e-02	(-6.02263465936349e+00dB,-1.24013404742608e+00°)
1.08143395129791e-02	(-6.02263559639486e+00dB,-1.24041954250470e+00°)
1.08168298933790e-02	(-6.02263653385764e+00dB,-1.24070510326693e+00°)
1.08193208472763e-02	(-6.02263747175204e+00dB,-1.24099072972785e+00°)
1.08218123748029e-02	(-6.02263841007825e+00dB,-1.24127642190256e+00°)
1.08243044760910e-02	(-6.02263934883647e+00dB,-1.24156217980615e+00°)
1.08267971512727e-02	(-6.02264028802691e+00dB,-1.24184800345370e+00°)
1.08292904004801e-02	(-6.02264122764975e+00dB,-1.24213389286031e+00°)
1.08317842238455e-02	(-6.02264216770520e+00dB,-1.24241984804110e+00°)
